fecha_hora,sujeto,tipo_registro,tiempo_s,reposo_prom,reposo_min,reposo_max,contraccion_prom,contraccion_min,contraccion_max,umbral_emg,energia_silencio_prom,energia_silencio_min,energia_silencio_max,energia_comando_prom,energia_comando_min,energia_comando_max,umbral_voz,emg_actual,emg_promedio_2s,emg_activo,intensidad_emg,energia_voz,energia_promedio_2s,zcr,zcr_promedio_2s,voz_activa,estado
2026-06-18 00:43:46,Alex,CALIBRACION,0,0.08,0.00,0.98,657.59,55.97,1249.60,328.84,0.000000,0.000000,0.000000,0.000003,0.000000,0.000013,0.000001,,,,,,,,,,UMBRALES CALCULADOS
2026-06-18 00:43:58,Alex,PRUEBA,1.70,,,,,,,328.84,,,,,,,0.000001,0.00,0.00,NO,INACTIVO,0.000000,0.000000,0.2615,0.2615,NO,REPOSO
2026-06-18 00:44:00,Alex,PRUEBA,2.93,,,,,,,328.84,,,,,,,0.000001,0.00,0.00,NO,INACTIVO,0.000000,0.000000,0.2483,0.2549,NO,REPOSO
2026-06-18 00:44:01,Alex,PRUEBA,4.12,,,,,,,328.84,,,,,,,0.000001,0.00,0.00,NO,INACTIVO,0.000000,0.000000,0.2422,0.2507,NO,REPOSO
2026-06-18 00:44:02,Alex,PRUEBA,5.24,,,,,,,328.84,,,,,,,0.000001,0.13,0.03,NO,INACTIVO,0.000000,0.000000,0.2636,0.2539,NO,REPOSO
2026-06-18 00:44:03,Alex,PRUEBA,6.52,,,,,,,328.84,,,,,,,0.000001,0.00,0.03,NO,INACTIVO,0.000000,0.000000,0.2402,0.2512,NO,REPOSO
2026-06-18 00:44:04,Alex,PRUEBA,7.67,,,,,,,328.84,,,,,,,0.000001,0.00,0.02,NO,INACTIVO,0.000000,0.000000,0.2147,0.2451,NO,REPOSO
2026-06-18 00:44:05,Alex,PRUEBA,8.81,,,,,,,328.84,,,,,,,0.000001,0.00,0.02,NO,INACTIVO,0.000000,0.000000,0.2876,0.2512,NO,REPOSO
2026-06-18 00:44:07,Alex,PRUEBA,9.93,,,,,,,328.84,,,,,,,0.000001,0.00,0.02,NO,INACTIVO,0.000000,0.000000,0.2640,0.2528,NO,REPOSO
2026-06-18 00:44:08,Alex,PRUEBA,10.92,,,,,,,328.84,,,,,,,0.000001,0.00,0.01,NO,INACTIVO,0.000000,0.000000,0.2659,0.2542,NO,REPOSO
2026-06-18 00:44:09,Alex,PRUEBA,11.96,,,,,,,328.84,,,,,,,0.000001,0.00,0.01,NO,INACTIVO,0.000000,0.000000,0.2062,0.2494,NO,REPOSO
2026-06-18 00:44:10,Alex,PRUEBA,12.98,,,,,,,328.84,,,,,,,0.000001,0.35,0.05,NO,INACTIVO,0.000000,0.000000,0.2807,0.2513,NO,REPOSO
2026-06-18 00:44:11,Alex,PRUEBA,14.03,,,,,,,328.84,,,,,,,0.000001,0.00,0.05,NO,INACTIVO,0.000000,0.000000,0.2381,0.2503,NO,REPOSO
2026-06-18 00:44:12,Alex,PRUEBA,15.23,,,,,,,328.84,,,,,,,0.000001,0.00,0.05,NO,INACTIVO,0.000000,0.000000,0.2910,0.2552,NO,REPOSO
2026-06-18 00:44:13,Alex,PRUEBA,16.30,,,,,,,328.84,,,,,,,0.000001,0.32,0.07,NO,INACTIVO,0.000000,0.000000,0.2673,0.2556,NO,REPOSO
2026-06-18 00:44:14,Alex,PRUEBA,17.38,,,,,,,328.84,,,,,,,0.000001,76.00,7.67,NO,INACTIVO,0.000000,0.000000,0.2469,0.2562,NO,REPOSO
2026-06-18 00:44:15,Alex,PRUEBA,18.59,,,,,,,328.84,,,,,,,0.000001,298.20,37.49,NO,INACTIVO,0.000000,0.000000,0.2656,0.2613,NO,REPOSO
2026-06-18 00:44:16,Alex,PRUEBA,19.77,,,,,,,328.84,,,,,,,0.000001,786.35,116.12,NO,FUERTE,0.000000,0.000000,0.2534,0.2579,NO,REPOSO
2026-06-18 00:44:18,Alex,PRUEBA,20.95,,,,,,,328.84,,,,,,,0.000001,1840.38,300.16,SI,FUERTE,0.000000,0.000000,0.2607,0.2576,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:19,Alex,PRUEBA,22.12,,,,,,,328.84,,,,,,,0.000001,1377.35,437.89,SI,FUERTE,0.000000,0.000000,0.2638,0.2574,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:20,Alex,PRUEBA,23.23,,,,,,,328.84,,,,,,,0.000001,1260.70,563.96,SI,FUERTE,0.000000,0.000000,0.2528,0.2620,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:21,Alex,PRUEBA,24.27,,,,,,,328.84,,,,,,,0.000001,1064.63,670.39,SI,FUERTE,0.000000,0.000000,0.2461,0.2586,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:22,Alex,PRUEBA,25.34,,,,,,,328.84,,,,,,,0.000001,989.00,769.29,SI,FUERTE,0.000000,0.000000,0.2202,0.2568,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:23,Alex,PRUEBA,26.40,,,,,,,328.84,,,,,,,0.000001,1008.05,870.10,SI,FUERTE,0.000000,0.000000,0.2993,0.2576,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:24,Alex,PRUEBA,27.46,,,,,,,328.84,,,,,,,0.000001,990.20,969.09,SI,FUERTE,0.000000,0.000000,0.2644,0.2573,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:25,Alex,PRUEBA,28.51,,,,,,,328.84,,,,,,,0.000001,897.03,1051.19,SI,FUERTE,0.000000,0.000000,0.2380,0.2564,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:26,Alex,PRUEBA,29.58,,,,,,,328.84,,,,,,,0.000001,1109.25,1132.29,SI,FUERTE,0.000000,0.000000,0.2720,0.2571,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:27,Alex,PRUEBA,30.66,,,,,,,328.84,,,,,,,0.000001,1140.70,1167.73,SI,FUERTE,0.000000,0.000000,0.2672,0.2584,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:28,Alex,PRUEBA,31.73,,,,,,,328.84,,,,,,,0.000001,901.58,1073.85,SI,FUERTE,0.000000,0.000000,0.2798,0.2604,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:30,Alex,PRUEBA,32.87,,,,,,,328.84,,,,,,,0.000001,859.97,1022.11,SI,FUERTE,0.000000,0.000000,0.2628,0.2603,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:31,Alex,PRUEBA,33.94,,,,,,,328.84,,,,,,,0.000001,884.30,984.47,SI,FUERTE,0.000000,0.000000,0.2431,0.2593,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:32,Alex,PRUEBA,35.00,,,,,,,328.84,,,,,,,0.000001,744.95,952.50,SI,FUERTE,0.000000,0.000000,0.2460,0.2593,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:33,Alex,PRUEBA,36.06,,,,,,,328.84,,,,,,,0.000001,724.20,926.02,SI,FUERTE,0.000000,0.000000,0.2474,0.2620,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:34,Alex,PRUEBA,37.16,,,,,,,328.84,,,,,,,0.000001,497.73,874.99,SI,PROMEDIO,0.000000,0.000000,0.2507,0.2571,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:35,Alex,PRUEBA,38.28,,,,,,,328.84,,,,,,,0.000001,559.35,831.91,SI,PROMEDIO,0.000000,0.000000,0.2308,0.2538,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:36,Alex,PRUEBA,39.39,,,,,,,328.84,,,,,,,0.000001,884.42,830.65,SI,FUERTE,0.000010,0.000001,0.1423,0.2442,SI,ACTUADOR ACTIVADO
2026-06-18 00:44:37,Alex,PRUEBA,40.46,,,,,,,328.84,,,,,,,0.000001,726.85,792.41,SI,FUERTE,0.000000,0.000001,0.2613,0.2431,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:38,Alex,PRUEBA,41.51,,,,,,,328.84,,,,,,,0.000001,663.00,744.63,SI,PROMEDIO,0.000000,0.000001,0.2401,0.2404,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:39,Alex,PRUEBA,42.58,,,,,,,328.84,,,,,,,0.000001,575.37,712.01,SI,PROMEDIO,0.000000,0.000001,0.2499,0.2374,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:40,Alex,PRUEBA,43.62,,,,,,,328.84,,,,,,,0.000001,487.90,674.81,SI,DÉBIL,0.000000,0.000001,0.2188,0.2330,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:41,Alex,PRUEBA,44.65,,,,,,,328.84,,,,,,,0.000001,486.02,634.98,SI,DÉBIL,0.000000,0.000001,0.2399,0.2327,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:42,Alex,PRUEBA,45.73,,,,,,,328.84,,,,,,,0.000001,461.25,606.61,SI,DÉBIL,0.000000,0.000001,0.2855,0.2367,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:43,Alex,PRUEBA,46.81,,,,,,,328.84,,,,,,,0.000001,533.92,587.58,SI,PROMEDIO,0.000000,0.000001,0.2595,0.2379,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:45,Alex,PRUEBA,47.91,,,,,,,328.84,,,,,,,0.000001,457.27,583.54,SI,DÉBIL,0.000000,0.000001,0.2503,0.2378,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:44:46,Alex,PRUEBA,48.99,,,,,,,328.84,,,,,,,0.000001,512.42,578.84,SI,PROMEDIO,0.000000,0.000001,0.2321,0.2380,NO,BLOQUEADO: falta comando de voz
