fecha_hora,sujeto,tipo_registro,tiempo_s,reposo_prom,reposo_min,reposo_max,contraccion_prom,contraccion_min,contraccion_max,umbral_emg,energia_silencio_prom,energia_silencio_min,energia_silencio_max,energia_comando_prom,energia_comando_min,energia_comando_max,umbral_voz,emg_actual,emg_promedio_2s,emg_activo,intensidad_emg,energia_voz,energia_promedio_2s,zcr,zcr_promedio_2s,voz_activa,estado
2026-06-18 00:39:33,Lalo,CALIBRACION,0,0.04,0.00,0.65,626.24,0.28,1445.53,313.14,0.000000,0.000000,0.000000,0.000001,0.000000,0.000004,0.000001,,,,,,,,,,UMBRALES CALCULADOS
2026-06-18 00:39:45,Lalo,PRUEBA,1.66,,,,,,,313.14,,,,,,,0.000001,4.05,4.05,NO,INACTIVO,0.000000,0.000000,0.2499,0.2499,NO,REPOSO
2026-06-18 00:39:46,Lalo,PRUEBA,2.88,,,,,,,313.14,,,,,,,0.000001,10.82,7.44,NO,INACTIVO,0.000000,0.000000,0.2538,0.2519,NO,REPOSO
2026-06-18 00:39:48,Lalo,PRUEBA,4.00,,,,,,,313.14,,,,,,,0.000001,4.20,6.36,NO,INACTIVO,0.000000,0.000000,0.2631,0.2556,NO,REPOSO
2026-06-18 00:39:49,Lalo,PRUEBA,5.13,,,,,,,313.14,,,,,,,0.000001,4.10,5.79,NO,INACTIVO,0.000000,0.000000,0.2397,0.2516,NO,REPOSO
2026-06-18 00:39:50,Lalo,PRUEBA,6.26,,,,,,,313.14,,,,,,,0.000001,41.17,12.87,NO,INACTIVO,0.000000,0.000000,0.2583,0.2530,NO,REPOSO
2026-06-18 00:39:51,Lalo,PRUEBA,7.38,,,,,,,313.14,,,,,,,0.000001,582.28,107.77,NO,PROMEDIO,0.000000,0.000000,0.2486,0.2522,NO,REPOSO
2026-06-18 00:39:52,Lalo,PRUEBA,8.51,,,,,,,313.14,,,,,,,0.000001,701.40,192.57,SI,FUERTE,0.000000,0.000000,0.2843,0.2568,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:39:53,Lalo,PRUEBA,9.62,,,,,,,313.14,,,,,,,0.000001,944.28,286.54,SI,FUERTE,0.000000,0.000000,0.2508,0.2561,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:39:54,Lalo,PRUEBA,10.77,,,,,,,313.14,,,,,,,0.000001,1078.90,374.58,SI,FUERTE,0.000000,0.000000,0.2536,0.2558,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:39:56,Lalo,PRUEBA,12.01,,,,,,,313.14,,,,,,,0.000001,1480.97,485.22,SI,FUERTE,0.000000,0.000000,0.2566,0.2559,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:39:57,Lalo,PRUEBA,13.14,,,,,,,313.14,,,,,,,0.000001,963.15,581.13,SI,FUERTE,0.000000,0.000000,0.2201,0.2529,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:39:58,Lalo,PRUEBA,14.36,,,,,,,313.14,,,,,,,0.000001,977.20,677.76,SI,FUERTE,0.000000,0.000000,0.2592,0.2534,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:39:59,Lalo,PRUEBA,15.46,,,,,,,313.14,,,,,,,0.000001,1200.43,797.39,SI,FUERTE,0.000000,0.000000,0.2402,0.2511,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:40:00,Lalo,PRUEBA,16.59,,,,,,,313.14,,,,,,,0.000001,1491.20,946.10,SI,FUERTE,0.000000,0.000000,0.2218,0.2493,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:40:01,Lalo,PRUEBA,17.72,,,,,,,313.14,,,,,,,0.000001,1662.05,1108.19,SI,FUERTE,0.000000,0.000000,0.2171,0.2452,NO,BLOQUEADO: falta comando de voz
2026-06-18 00:40:02,Lalo,PRUEBA,18.84,,,,,,,313.14,,,,,,,0.000001,1269.40,1176.90,SI,FUERTE,0.000000,0.000000,0.2616,0.2465,NO,BLOQUEADO: falta comando de voz
